id,lat,lng,geoprivacy,observed_on,time_observed_at,place_guess
146671735,-33.8004612485,151.2913466245,open,2023-01-16,2023-01-16T17:03:23+11:00,"Conseil de Manly Nouvelle-Galles du Sud 2095, Australie"
147186022,-33.7043839722,151.306374,open,2022-07-12,2022-07-12T16:19:54+10:00,"Narrabeen NSW 2101, Australia"
147382150,-33.7385533333,151.3107916667,open,2023-01-26,2023-01-26T08:10:56+11:00,"Collaroy, NSW, AU"
147443414,-33.7424930001,151.320312,open,2023-01-26,2023-01-26T07:38:00+11:00,"Warringah, New South Wales, Australia"
147515323,-33.7989261867,151.2943293199,open,2022-12-23,2022-12-23T07:44:00+11:00,"Northern Beaches Council, NSW, Australia"
148650331,-33.79633,151.2884533333,open,2023-02-12,2023-02-12T19:42:10+11:00,"Fairy Bower Beach, Manly, NSW, AU"
148952115,-33.9258916667,151.2594616667,open,2023-02-17,2023-02-17T12:18:24+11:00,"Wylie's Baths, Coogee, NSW, AU"
149367816,-33.733257,151.303344,open,2023-02-20,2023-02-20T12:40:39+11:00,"Warringah, AU-NS, AU"
150537365,-33.738272,151.306946,open,2022-10-19,2022-10-19T16:35:43+11:00,"Collaroy NSW 2097, Australia"
150537387,-33.7382909722,151.307117,open,2022-10-19,2022-10-19T16:36:21+11:00,"Collaroy NSW 2097, Australia"
150537415,-33.7389519722,151.3084749722,open,2022-10-19,2022-10-19T16:40:06+11:00,"Collaroy NSW 2097, Australia"
150641499,-33.68158,151.3123033333,open,2023-03-09,2023-03-09T19:23:17+11:00,"Mona Vale Beach, Mona Vale, NSW, AU"
150645514,-33.7421199722,151.317788,open,2022-10-19,2022-10-19T17:52:51+11:00,Australia
150645548,-33.7421319722,151.3177949722,open,2022-10-19,2022-10-19T17:55:14+11:00,Australia
150900836,-33.789425,151.28772,open,2022-10-19,2022-10-19T15:47:07+11:00,"Manly Beach, Manly, NSW, AU"
151173924,-33.9485476657,151.2572649213,open,2023-02-07,2023-02-07T17:50:00+11:00,"Sydney NSW, Australia"
152682119,-33.736275,151.306105,open,2023-02-20,2023-02-20T16:48:06+11:00,"Collaroy Basin, Collaroy, NSW, AU"
152816354,-33.79217234,151.2877440672,open,2023-02-23,2023-02-23T10:56:00+11:00,"North Steyne Beach, Manly, NSW, AU"
156537835,-33.6114583333,151.331755,open,2023-04-25,2023-04-25T14:25:24+10:00,"Whale Beach, Whale Beach, NSW, AU"
157340460,-34.11655,151.139725,open,2023-04-28,2023-04-28T14:38:52+10:00,"Marley Beach, Royal National Park, NSW, AU"
159788957,-34.0541805,151.1553805,open,2022-12-02,2022-12-02T13:20:43+11:00,"Bate Bay, Cronulla, NSW, AU"
160899598,-33.9487140061,151.2571273372,open,2023-04-22,2023-04-22T09:11:40+10:00,Maroubra Beach
162063881,-34.1208333333,151.1353445,open,2023-05-16,2023-05-16T10:08:59+10:00,"Royal National Park, Royal National Park, NSW, AU"
165994038,-34.0817527622,151.1636300856,open,2023-06-06,2023-06-06T11:27:00+10:00,"Royal Nat'l Park NSW 2233, Australia"
166197724,-33.9477853443,151.2574582547,open,2023-06-08,2023-06-08T12:22:08+10:00,"Maroubra NSW 2035, Australia"
166563799,-33.9036,151.26808,open,2022-10-01,2022-10-01T14:26:19+10:00,"Bronte Beach, Bronte, NSW, AU"
168007463,-33.9215313857,151.2576604312,open,2015-09-26,2015-09-26T12:27:00+10:00,"Sydney NSW, Australia"
168210930,-33.6105256427,151.3017427307,open,2017-12-23,2017-12-23T15:09:00+11:00,"Pittwater NSW 2108, Australia"
181327171,-34.1159055,151.1419833333,open,2023-09-02,2023-09-02T14:23:24+10:00,"Marley Beach, Royal National Park, NSW, AU"
181872414,-33.8007666667,151.2956216667,open,2023-09-05,2023-09-05T12:39:16+10:00,"Bower St, Manly, NSW, AU"
185535554,-33.9532777778,151.2585916667,open,2023-09-30,2023-09-30T14:57:53+10:00,"City of Randwick, NSW, Australia"
185535934,-33.7348366667,151.30542,open,2023-09-30,2023-09-30T16:37:34+10:00,"Fishermans Beach, Collaroy, NSW, AU"
186616890,-33.8080783333,151.2912883333,open,2023-10-08,2023-10-08T09:42:17+11:00,"Collins Flat Beach, North Harbour, NSW, AU"
187224082,-33.738722,151.3102529722,open,2023-01-17,2023-01-17T17:11:01+11:00,"7865+7Q, Collaroy NSW 2097, Australia"
188116959,-33.89158,151.2746666667,open,2023-10-19,2023-10-19T18:35:29+11:00,"Bondi Beach, Campbell Pde, Stand A, Bondi Beach NSW 2026, Australia"
188117957,-33.8999333333,151.27005,open,2023-10-10,2023-10-10T16:40:35+11:00,"Tamarama Beach, Tamarama, NSW, AU"
188122690,-33.8906939636,151.2802529354,open,2023-10-19,2023-10-19T13:17:47+11:00,"Bondi Beach, Bondi Beach, NSW, AU"
188122708,-33.8933057415,151.274505075,open,2023-10-19,2023-10-19T13:08:14+11:00,"Bondi Beach, Bondi Beach, NSW, AU"
188232037,-33.798595,151.289825,open,2023-10-20,2023-10-20T12:45:31+11:00,"Fairy Bower Beach, Manly, NSW, AU"
188233933,-33.7357533333,151.3053883333,open,2023-10-20,2023-10-20T17:45:16+11:00,"Florence Ave, Collaroy, NSW, AU"
188236665,-33.9148205997,151.2612009,open,2023-10-20,2023-10-20T09:41:52+11:00,"Coogee NSW 2034, Australia"
188336616,-33.900275,151.27133,open,2023-10-21,2023-10-21T14:21:34+11:00,"Gaerloch Ave, Tamarama, NSW, AU"
188337261,-33.7973194444,151.28895,open,2023-10-21,2023-10-21T13:13:16+11:00,"Manly NSW 2095, Australia"
188872150,-33.91983606,151.25899466,open,2023-10-25,2023-10-25T18:42:11+11:00,"Coogee NSW 2034, Australia"
189089864,-33.7419584,151.3170328,open,2023-10-24,2023-10-24T09:42:00+11:00,"Long Reef Point, Collaroy NSW 2097, Australia"
189208447,-33.6783907012,151.3156900021,open,2023-10-28,2023-10-28T14:23:00+11:00,"Sydney NSW, Australia"
189208448,-33.6783907012,151.3156900021,open,2023-10-28,2023-10-28T14:23:00+11:00,"Sydney NSW, Australia"
189217259,-33.8396008616,151.2524217367,open,2023-10-20,2023-10-20T14:33:42+11:00,"Clifton Gardens, Mosman NSW 2088, Australia"
189461238,-33.7993499345,151.2907153591,open,2023-10-10,2023-10-10T06:52:00+11:00,Cabbage Tree Bay
189604501,-33.7987405097,151.2817052241,open,2023-11-01,2023-11-01T08:29:05+11:00,"South Steyne Beach, Manly, NSW, AU"
189604930,-33.7987366667,151.2816916667,open,2023-11-01,2023-11-01T08:29:05+11:00,"South Steyne Beach, Manly, NSW, AU"
189634445,-33.9160537351,151.2656379864,open,2023-11-01,2023-11-01T15:14:54+11:00,"City of Randwick, NSW, Australia"
189732868,-34.0406729722,151.207129,open,2023-11-02,2023-11-02T10:19:15+11:00,"Kurnell NSW 2231, Australia"
189738348,-33.9045333333,151.2687083333,open,2023-11-02,2023-11-02T16:09:42+11:00,"Nelson Bay, Bronte, NSW, AU"
189999300,-34.1214611667,151.1354666667,open,2023-09-23,2023-09-23T16:30:15+10:00,"Royal National Park, Royal National Park, NSW, AU"
190566056,-33.9256859,151.2593896,open,2023-11-08,2023-11-08T08:40:00+11:00,"4B Neptune St, Coogee NSW 2034, Australia"
190607420,-33.8031080768,151.2861401388,open,2007-11-17,2007-11-17T14:00:00+11:00,"Sydney New South Wales, Australien"
190773267,-33.6782037077,151.3158600549,open,2023-11-09,2023-11-09T11:29:00+11:00,"Sydney NSW, Australia"
190947371,-33.859,151.258225,open,2023-11-14,2023-11-14T10:00:12+11:00,"Port Jackson, Point Piper, NSW, AU"
